学科,技能名称,子分类,skills类型,简介,tool_chain_key,实现情况
生物医药,GTEx_eQTL基因获取工具,数据分析,脚本,获取具有显著顺式eQTL的eQTL基因（eGenes）。返回在指定组织中至少具有一个显著表达数量性状位点（eQTL）的基因，包括等位基因折叠变化、p值、q值（FDR < 0.05）和效应大小。可按组织筛选或获取所有eGenes。用途：识别受遗传调控的基因、寻找组织特异性eQTL、研究调控变异、遗传关联研究。是理解基因表达遗传控制的关键工具。,gtexEqtl,未实现
生物医药,GTEx中位基因表达获取工具,数据分析,脚本,获取GTEx组织中的中位基因表达水平。返回54个组织部位中一个或多个基因的中位TPM（每百万转录本）表达量。可按特定组织筛选或获取所有组织的表达量。基于成人GTEx V11（2026年1月）。用途：组织特异性表达谱分析、鉴定高表达基因、比较组织间表达模式。示例：获取TP53基因在脑和肝脏中的表达。,gtex,未实现
生物医药,GTEx单组织eQTL获取工具,数据分析,脚本,获取显著的单组织eQTL关联。返回预计算的基因-变异关联，包含p值、效应量（NES）和基因组位置。支持通过基因ID、变异ID、组织或组合进行查询。结果显示特定组织中哪些遗传变异影响基因表达。用途：寻找候选基因的eQTL、查询变异效应、组织特异性调控分析、GWAS后续研究。必须提供至少一个筛选条件：gencode_id、variant_id或tissue_site_detail_id。,gtexEqtl,未实现
生物医药,GTEx基因表达获取工具,数据分析,脚本,获取个体样本水平的基因表达数据（非聚合）。返回每个样本的标准化表达值（TPM），支持详细分布分析。可按供体属性（性别、年龄组）进行子集化以开展特定人群分析。相比中位数表达，数据量更大。用途：表达变异性分析、异常值检测、样本水平质量控制、人群比较。注意：多基因/组织时结果集较大。,gtex,未实现
生物医药,GTEx多组织eQTL获取工具,数据分析,脚本,获取多组织eQTL荟萃分析结果（Metasoft方法）。返回基因-变异对在所有组织中的m值（每个组织中eQTL效应的后验概率）、标准化效应量、p值和标准误，展示eQTL效应的组织共享模式。用途：理解eQTL的组织特异性、寻找共享或组织特异性效应、跨组织荟萃分析、调控机制研究。需提供gencode_id，可选择按variant_id过滤。,gtexEqtl,未实现
生物医药,GTEx数据集信息获取工具,数据分析,脚本,获取GTEx数据集元数据和版本信息。返回包括GENCODE版本、基因组构建（GRCh38/hg38）、dbSNP构建、样本数量、组织数量和发布信息在内的数据集详情。默认显示成人GTEx V11（2026年1月）的详细信息。用途：了解数据版本、检查样本量、验证基因组构建、文档记录。使用前先检查以了解可用数据。,gtex,未实现
生物医药,GTEx样本信息获取工具,数据分析,脚本,获取详细的GTEx样本和受试者元数据。返回样本ID、组织类型、捐赠者人口统计学信息（年龄、性别）、缺血时间、RIN评分、Hardy量表、病理记录和质量控制指标。可按样本ID、受试者ID、组织、人口统计学信息或数据类型进行筛选。用途：样本选择、队列设计、质量控制筛选、人口统计学分析、理解数据来源。对于选择合适的分析样本至关重要。,gtex,未实现
生物医药,GTEx组织位点获取工具,数据分析,脚本,获取所有可用的GTEx组织位点及其元数据。返回54个非患病组织位点的组织ID、名称、样本数量、e基因数量和颜色代码。包含RNA-seq样本摘要及供体年龄和性别统计。用途：发现可用组织、查询组织ID、检查样本量、了解组织覆盖范围。查询组织特异性数据前的必要第一步。,gtex,未实现
生物医药,GTEx自定义eQTL动态计算,数据分析,脚本,计算任意组织中任意基因-变异对的自定义eQTL。动态计算基因-变异关联统计数据，包括p值、标准化效应量（NES）、t统计量和基因型数据。适用于显著和非显著关联。即使关联不在预计算结果中，也能返回详细统计信息。用途：测试特定假设、自定义变异-基因对、动态eQTL分析、验证发现。需要三个参数：gencode_id、variant_id和tissue_site_detail_id。,gtexEqtl,未实现
生物医药,GTEx高表达基因获取工具,数据分析,脚本,获取特定组织中按中位表达排序的高表达基因。返回包含表达水平（TPM）的基因列表，有助于理解组织特异性基因特征。可选择过滤线粒体基因（默认：开启）。用途：组织特征分析、看家基因筛选、组织标志物识别、质量控制。是理解每种组织类型中活跃基因的关键工具。,gtex,未实现
生物医药,GWAS catalog 数据库查询,信息检索,数据库调用,遗传学研究的重要资源，收录了许多基因组关联数据。（磐石：支持对话调用）,gwasCatalog,未实现
生物医药,GWAS关联ID查询,数据分析,脚本,通过唯一标识符获取特定的GWAS关联数据,gwasId,未实现
生物医药,GWAS catalog 数据库查询,信息检索,脚本,遗传学研究的重要资源，收录了许多基因组关联数据。,gwas,未实现
生物医药,GWAS catalog 数据库查询,信息检索,脚本,遗传学研究的重要资源，收录了许多基因组关联数据。,gwas,未实现
生物医药,GraphQL疾病靶点关联评分,数据分析,脚本,通过GraphQL API从特定数据源提取疾病-靶点关联评分。该工具可检索与疾病关联的所有靶点及其在指定数据源（如chembl、eva、cancer_gene_census等）中的评分。,graphql,未实现
生物医药,HPO ID查询表型,数据分析,脚本,通过HPO ID检索表型或症状,hpoId,未实现
生物医药,IntAct互作检索,数据分析,脚本,通过EBI搜索API（IntAct域）在IntAct数据库中检索蛋白质互作信息。支持通过蛋白质名称、基因名称、互作类型等条件进行搜索。使用'*'作为查询可获取所有互作（可能较慢）。,intact,未实现
生物医药,InterPro 数据库查询,信息检索,数据库调用,整合了多个蛋白质家族、结构域和功能位点的数据库系统。（磐石：支持对话调用）,interpro,未实现
生物医药,差异标志物发现,代谢组学,脚本,面向代谢物 biomarker：缺失值与归一化、PCA/PLS-DA、多维模型效能对比、VIP 与显著性筛选。,kegg,未实现
生物医药,LigandMPNN,预测与建模,模型,深度学习驱动的蛋白质序列设计模型，能够显式考虑小分子、核酸等非蛋白质环境的作用。（磐石：支持对话调用）,LigandMPNN,未实现
生物医药,MHC关联表位检索,数据分析,脚本,基于IEDB查询API搜索MHC相关实验数据行，用于发现涉及MHC限制的表位`structure_id`值。可使用`select`参数仅请求少量字段以优化响应速度。,mhc,已实现
生物医药,MSA search,数据分析,脚本,通过将查询序列与蛋白质序列数据库进行比对，生成多序列比对（MSA）。,msaSearch,未实现
生物医药,MedlinePlus Connect 编码查询,数据分析,脚本,通过 MedlinePlus Connect 网络服务，使用临床/药物/检测编码（如 ICD-10 CM、RXCUI、LOINC 等）查询对应的 MedlinePlus 页面信息，支持 JSON 或 XML 格式返回。,medlineplusConnect,未实现
生物医药,NHANES数据集信息查询,数据分析,脚本,获取国家健康与营养检查调查（NHANES）数据集信息。NHANES数据通常以可下载文件（SAS、XPT格式）形式从CDC网站获取。该工具提供可用数据集、年份及下载链接信息。注意：实际数据检索可能需要下载并转换文件。,nhanes,未实现
生物医药,NHANES数据集搜索工具,数据分析,脚本,通过关键词搜索NHANES数据集，返回匹配数据集的信息（包括下载链接）。注意：NHANES数据文件通常为SAS/XPT格式，可能需要转换工具。,nhanes,未实现
生物医药,NICE临床指南全文获取,数据分析,脚本,从NICE临床指南页面获取完整的全文内容。输入NICE指南URL，提取所有章节、建议和完整指南文本。在使用NICE临床指南搜索找到指南后，使用此工具获取完整内容。,nice,未实现
生物医药,NICE临床指南检索,数据分析,脚本,检索NICE（英国国家健康与临床卓越研究院）发布的临床指南与循证医学建议。提供涵盖各类疾病诊断、治疗方案及护理路径的官方指南。,nice,未实现
生物医药,OligoFormer,预测与建模,模型,可以自动设计并推荐高效靶向特定 mRNA 的 siRNA 分子。（磐石：支持对话调用）,OligoFormer,未实现
生物医药,OpenAlex临床指南检索,数据分析,脚本,通过OpenAlex学术数据库检索临床实践指南。提供全球多来源的指南综合检索服务，包含引用指标与机构归属信息。,openalex,未实现
生物医药,OpenTargets_按ChEMBL ID查询药物黑框警告状态,数据分析,脚本,通过ChEMBL ID查询特定药物的撤回状态和黑框警告状态,opentargetsChemblId,未实现
生物医药,OpenTargets_按Ensembl_ID获取靶点亚细胞定位,数据分析,脚本,根据特定靶点的Ensembl ID检索亚细胞定位信息,opentargetsEnsemblId,未实现
生物医药,PharmGKB基因检索,数据分析,脚本,通过基因名称、符号或ID在PharmGKB数据库中检索基因，返回PharmGKB基因ID及基本基因元数据。,pharmgkb,未实现
生物医药,PharmGKB药物检索,数据分析,脚本,通过药物名称或PharmGKB ID在PharmGKB数据库中检索药物信息，返回药物名称、ID及基本元数据。,pharmgkb,未实现
生物医药,PharmGKB获取基因详细信息,数据分析,脚本,通过PharmGKB基因编号获取基因的详细信息，包括染色体位置、交叉引用和其他元数据。,pharmgkb,未实现
生物医药,ProtGPT2,预测与建模,模型,能够理解蛋白质语言，可用于从头设计和构建蛋白质。（磐石：支持对话调用）,protGPT2,未实现
生物医药,Proteins获取蛋白质功能注释,数据分析,脚本,从Proteins API获取蛋白质的功能注释和评论信息。支持批量操作：可传入一个或多个UniProt蛋白质编号（以逗号分隔的字符串或数组形式），并行获取多个蛋白质的注释数据。包含经人工审核的功能注释、亚细胞定位、疾病关联等信息。注意：本工具从主蛋白质端点提取注释（单独的评论端点不可用），返回所有功能注释内容。,proteins,未实现
生物医药,PubMed数据库查询,信息检索,脚本,生物医学文献信息检索系统。,pubmed,已实现
生物医药,PubMed数据库查询,信息检索,数据库调用,生物医学文献信息检索系统。（磐石：支持对话调用）,pubmed,已实现
生物医药,PubMed数据库查询,信息检索,脚本,生物医学文献信息检索系统。,pubmed,已实现
生物医药,RFdiffusion,预测与建模,模型,用于蛋白质结合剂设计的蛋白质骨架生成模型。（磐石：支持对话调用）,rFdiffusion,未实现
生物医药,RNAcentral 按编号查询,数据分析,脚本,通过编号检索单个 RNAcentral 条目，获取详细注释和来源交叉引用。用于跨数据库 ID 映射和元数据查询。,rnacentral,未实现
生物医药,RNA二级结构可视化工具,数据可视化,脚本,基于RNA碱基序列生成其对应的二级结构图示。,rna,未实现
生物医药,Reactome 数据库查询,信息检索,数据库调用,经过手动筛选和同行评审的生物分子通路知识数据库。（磐石：支持对话调用）,reactome,未实现
生物医药,Reactome 数据库查询,信息检索,脚本,经过手动筛选和同行评审的生物分子通路知识数据库。,reactome,未实现
生物医药,Rfam RNA家族基因组区域查询,数据分析,脚本,获取所有包含RNA家族成员的基因组区域列表。返回包含序列ID、坐标、分数和物种的制表符分隔数据。显示家族在基因组中的分布位置。警告：某些大型家族因区域过多返回403错误。用途：基因组注释、RNA位置识别、跨物种比较、覆盖度分析。可用格式：文本（制表符分隔）、JSON、XML。,rfamRna,未实现
生物医药,Rfam RNA家族种子比对获取,数据分析,脚本,获取RNA家族种子比对，支持多种格式。返回用于构建协方差模型的精选多序列比对。格式包括：stockholm（默认，含结构注释）、pfam（单行stockholm）、fasta（带间隙）、fastau（无间隙）。大比对可选择gzip压缩。用途：序列分析、结构预测、系统发育研究、同源性检测。比对显示保守位置和碱基配对。,rfamRna,未实现
生物医药,Rfam协方差模型获取工具,数据分析,脚本,获取RNA家族的Infernal协方差模型（CM）。返回Infernal格式的CM文件，该文件同时捕捉序列和结构保守性。可与Infernal工具（cmsearch、cmalign、cmbuild）一起用于RNA序列分析。用途：同源性搜索、结构比对、自定义RNA注释、序列分类。对于结构化RNA，协方差模型（CM）比轮廓隐马尔可夫模型（profile HMMs）更敏感。,rfam,未实现
生物医药,Rfam家族ID到访问号转换工具,数据分析,脚本,将Rfam家族ID/名称转换为访问号。接受家族名称（如snoZ107_R87）并返回RF访问号（如RF00360）。简单的ID转换工具。用途：获取稳定标识符、交叉引用、数据整合、创建基于访问号的链接。访问号在Rfam各版本间保持稳定。,rfamId,未实现
生物医药,Rfam家族获取工具,数据分析,脚本,"从Rfam数据库获取全面的RNA家族信息。返回家族元数据，包括描述、注释详情、RNA类型（如snoRNA、miRNA、tRNA等）、序列数量、物种覆盖范围、搜索参数和结构来源。Rfam v15.1包含4,227个RNA家族。支持通过RF编号（如RF00360）或家族名称（如snoZ107_R87）查询。用途：RNA家族发现、RNA功能研究、检查注释质量、识别RNA类型。可用格式：json、xml。",rfam,未实现
生物医药,Rfam序列搜索,数据分析,脚本,使用Infernal的cmscan工具，针对所有Rfam家族搜索RNA序列。将序列提交到批处理搜索服务器，轮询完成状态，返回具有家族匹配、位置、分数和E值的命中结果。短序列通常在4-5秒内完成。结果保留1周。用途：注释新RNA序列、确定RNA家族成员、寻找保守元件、发现结构性RNA。返回家族ID、比对详情和显著性分数。,rfam,未实现
生物医药,Rfam结构映射获取工具,数据分析,脚本,获取Rfam家族与3D结构（PDB）的映射关系。返回RNA家族、EMBL序列区域和PDB残基之间的对应关系，显示该家族可用的结构。输出为制表符分隔格式，包含PDB ID、链、残基范围和比对信息。用途：结构-功能分析、3D可视化、结构注释、整合序列和结构数据。将Rfam家族与实验结构关联。,rfam,未实现
生物医药,Rfam编号转家族ID,数据分析,脚本,将Rfam编号转换为家族ID/名称。输入RF编号（如RF00360），返回人类可读的家族名称（如snoZ107_R87）。简单的ID转换工具。用途：显示可读名称、文档记录、交叉引用、数据整合。支持纯文本快速查询。,rfamId,未实现
生物医药,Rfam获取树数据,数据分析,脚本,获取RNA家族的系统发育树（NHX格式，即New Hampshire eXtended格式）。基于种子比对返回显示进化关系的树结构，包含物种名称和序列信息，可通过FigTree、iTOL、ETE等树可视化工具查看。用途：系统发育分析、RNA家族进化理解、物种分布分析、分类学研究。NHX格式包含超出标准Newick格式的扩展注释。,rfam,未实现
生物医药,STRING蛋白质相互作用查询,数据分析,脚本,从STRING数据库查询蛋白质-蛋白质相互作用。STRING是一个综合的已知和预测蛋白质-蛋白质相互作用数据库，包含置信度分数和功能注释。,string,未实现
生物医药,UCSC 基因组浏览器查询,信息检索,数据库调用,基因组学研究中的重要工具，快速检索基因组数据。（磐石：支持对话调用）,ucsc,未实现
生物医药,UniProt ID映射,数据分析,脚本,在不同数据库之间映射ID（例如从Ensembl到UniProt，从基因名到UniProt）。支持批量映射和异步任务处理。用于在不同数据库标识符之间进行转换。,uniprotId,未实现
生物医药,UniProtKB获取蛋白质功能注释,数据分析,脚本,从UniProtKB条目中提取功能注释（评论类型为FUNCTION）,uniprotkb,未实现
生物医药,UniProt数据库查询,信息检索,数据库调用,包含蛋白质序列、功能信息和研究论文索引的蛋白质数据库查询。（磐石：支持对话调用）,uniprot,已实现
生物医药,UniRef聚类搜索,数据分析,脚本,搜索UniRef聚类。返回匹配查询的聚类结果，可用于查找特定蛋白质或生物体的UniRef聚类。查询语法支持蛋白质编号、基因名称、生物体筛选等。,uniref,未实现
生物医药,WHO指南检索,数据分析,脚本,检索世界卫生组织(WHO)官方临床指南与健康建议。提供WHO发布的权威全球健康指南访问。,who,未实现
生物医药,biostudies获取研究文件,数据分析,脚本,获取与BioStudies研究相关的文件列表。返回文件元数据，包括路径、大小、类型和属性。文件从研究的部分层次结构中提取。,biostudies,未实现
生物医药,cBioPortal_患者获取,数据分析,脚本,获取癌症研究中的所有患者,cbioportal,未实现
生物医药,cBioPortal分子谱获取工具,数据分析,脚本,获取癌症研究的分子谱。分子谱包括突变数据、拷贝数变异、mRNA表达等。,cbioportal,未实现
生物医药,cBioPortal基因搜索,数据分析,脚本,按关键词（基因符号或别名）搜索基因,cbioportal,未实现
生物医药,cBioPortal样本获取工具,数据分析,脚本,获取癌症研究中的所有样本,cbioportal,未实现
生物医药,dbSNP 数据库查询,信息检索,数据库调用,单核苷酸多态性（SNP）数据库，快速检索SNP信息。（磐石：支持对话调用）,dbsnp,未实现
生物医药,euhealthinfo糖尿病流行病学登记处搜索工具,数据分析,脚本,该工具用于搜索和检索与流行病学及基于登记处的健康数据相关的数据集，重点关注糖尿病及相关疾病。用户可进行搜索以识别涵盖不同地理区域和人口群体的患病率、发病率及其他指标的数据集。工具返回的结构化数据集包含丰富的元数据，可能提供外部数据源链接或可下载文件。它专门用于访问其定义的数据集范围内经过整理的健康相关信息，并支持在糖尿病领域内跨不同主题的探索。若用户希望查看实际数据，'euhealthinfo_deepdive'工具会有所帮助。,euhealthinfo,未实现
生物医药,gnomAD变异查询,数据分析,脚本,通过自由文本查询（通常是rsID如'rs7412'）在gnomAD中搜索变异，返回匹配的`variant_id`字符串。注意：gnomAD的`variant_search`响应仅暴露`variant_id`，需使用返回的`variant_id`与`gnomad_get_variant`配合使用。,gnomad,未实现
生物医药,gnomAD基因检索,数据分析,脚本,通过自由文本查询（通常为基因符号）在gnomAD数据库中检索基因，返回匹配的Ensembl基因ID（ensembl_id）和基因符号（symbol），其中Ensembl基因ID可作为gene_id参数用于gnomad_get_gene工具。,gnomad,未实现
生物医药,世界卫生组织健康数据查询,数据分析,脚本,通过自然语言查询回答通用健康问题。自动搜索相关指标，获取健康数据并返回带有实际值的格式化答案。例如：'2020年美国吸烟率'将返回实际吸烟百分比。,,未实现
生物医药,个性化健康建议,数据分析,脚本,提供个性化的预防性护理建议，适用于不同年龄、性别及孕期状态（提供年龄/性别/孕期参数）。可检索元数据、简明语言版块以及完整文章的链接（AccessibleVersion链接）。若用户需要某建议的全文，可使用`odphp_outlink_fetch`工具辅助获取。,,未实现
生物医药,临床药理学药物名称检索,数据分析,脚本,基于临床药理学信息检索药物名称。警告：本工具仅输出预定义的有限数量药物名称，不涵盖所有可能药物，请谨慎使用。,,未实现
生物医药,临床试验检索,数据分析,脚本,通过疾病和/或干预措施作为筛选条件，在ClinicalTrials.gov上检索临床试验，返回符合条件的一系列试验列表。,,未实现
生物医药,临床试验检索药物名称,数据分析,脚本,根据临床试验信息检索药物名称,,未实现
生物医药,临床试验结果提取,数据分析,脚本,从clinicaltrials.gov提取详细的试验结果数据（如总生存期月数、p值等），使用NCT ID作为查询标识。,,未实现
生物医药,人类蛋白质图谱通用检索,数据分析,脚本,人类蛋白质图谱通用检索工具。支持自定义搜索查询并获取特定列数据。,,未实现
生物医药,从患者用药说明书中检索药物名称,数据分析,脚本,根据患者用药说明书中的信息检索药物名称,,未实现
生物医药,代谢组学研究信息获取工具,数据分析,脚本,通过研究ID获取代谢组学研究的元数据和信息，返回研究摘要（含标题、研究对象物种、分析类型及代谢物列表）,,未实现
生物医药,代谢组学研究列表,数据分析,脚本,分页列出所有MetaboLights研究，返回研究ID列表（如'MTBLS1'、'MTBLS2'）。使用metabolights_get_study可获取特定研究ID的详细信息。,,未实现
生物医药,代谢组学研究实验数据获取工具,数据分析,脚本,获取与MetaboLights研究关联的所有实验数据，返回实验元数据（包括实验类型、实验方案和测量细节）,,未实现
生物医药,代谢组学研究检索,数据分析,脚本,通过查询字符串检索MetaboLights研究，返回匹配的研究ID列表。使用metabolights_get_study和研究ID可获取详细元数据，包括标题、描述和生物体信息。,,未实现
生物医药,体细胞突变疾病靶点关联评分提取,数据分析,脚本,从EVA体细胞突变数据中提取疾病-靶点关联评分，包含体细胞变异数据,,未实现
生物医药,依据依赖性特征检索药物名称,数据分析,脚本,根据药物心理依赖性和生理依赖性特征检索对应的药物名称,,未实现
生物医药,依据非临床毒理学信息检索药物名称,数据分析,脚本,根据非临床毒理学信息检索药物名称,,未实现
生物医药,健康主题检索,数据分析,脚本,查找特定健康主题并获取完整内容。当用户提及关键词（如“叶酸”、“血压”）或已通过`odphp_itemlist`获取主题/分类ID时使用。返回详细主题页面（标题、章节、相关条目）及可访问版本链接。,,未实现
生物医药,健康监测数据检索,数据分析,脚本,用于识别和探索跨领域的健康相关数据集，整合多源信息以帮助用户发现公共卫生、流行病学和监测活动数据集中的模式、趋势及关联。特别适用于全球或区域性健康问题的广泛检索。,,未实现
生物医药,儿童安全药物检索工具,数据分析,脚本,根据药品是否应远离儿童及意外接触或摄入时的处理说明，检索药物名称,,未实现
生物医药,关键词检索医学主题,数据分析,脚本,通过关键词在MedlinePlus网络服务中检索相关健康主题或其他子库（如药物、遗传学等）的信息。,,未实现
生物医药,分娩用药信息检索药物名称,数据分析,脚本,根据分娩期间的药物使用信息检索药物名称,,未实现
生物医药,分析细菌生长曲线,数据分析,脚本,基于OD600数据拟合细菌生长曲线，提供参数分析、倍增时间和延迟期等结果。（磐石：支持对话调用）,,未实现
生物医药,分面检索EBI数据库,数据分析,脚本,在EBI指定域中执行支持分面过滤的检索。分面功能允许按类别筛选结果。注意：可用分面因域而异。建议首次检索时不使用分面参数以查看响应中包含哪些分面，或使用ebi_get_domain_info工具查询。常见分面可能包括'taxonomy_name'、'database'、'type'等，但需先确认域特定响应。返回包含分面信息的检索结果以支持高级筛选。,ebi,未实现
生物医药,列出EBI搜索域,数据分析,脚本,列出所有可用的EBI搜索域。返回所有可搜索域的元数据，包括域名、描述和字段信息。,ebi,未实现
生物医药,列出宏基因组分析结果,数据分析,脚本,列出与宏基因组研究编号关联的分析结果（分类学/功能学输出）。用于枚举可编程获取的已处理结果。,,未实现
生物医药,列出顶级通路,数据分析,脚本,列出特定物种的顶级通路。返回没有父通路的通路，包括其元数据和基本信息。,,未实现
生物医药,初级医疗人力数据检索,数据分析,脚本,该工具用于检索初级医疗人力相关的数据集元数据，主要帮助用户识别可提供医疗人力构成、地理分布模式及医疗职业相关主题的数据源。注意：工具需要有效输入才能成功执行，返回结果可能是元数据或参数错误提示。如需查看实际数据，可使用'euhealthinfo_deepdive'工具。,,未实现
生物医药,加拿大医学会指南检索,数据分析,脚本,检索加拿大医学会(CMA)信息库中的临床实践指南。包含1200余条由加拿大医疗机构制定或认可的循证临床实践指南。,,未实现
生物医药,动物药理学信息检索药物名称,数据分析,脚本,基于动物药理学和毒理学信息检索药物名称。警告：本工具仅输出预定义的有限数量药物名称，未涵盖所有可能性，请谨慎使用。,,未实现
生物医药,单细胞项目检索,数据分析,脚本,在人类细胞图谱（HCA）数据协调平台（DCP）中检索单细胞项目，支持根据特定器官和疾病状态筛选项目。,,未实现
生物医药,县健康排名数据集信息查询,数据分析,脚本,获取县健康排名数据信息。县健康排名提供县级健康数据，该工具提供可用数据集及访问方式信息。注：数据可能以可下载文件形式或通过其网站获取。,,未实现
生物医药,变异位点注释获取,数据分析,脚本,通过HGVS ID（如'chr1:g.2186318G>A'）获取特定变异位点的详细注释信息，返回来自dbSNP、ClinVar、CADD等数据库的信息。,,未实现
生物医药,哺乳期用药信息检索,数据分析,脚本,根据哺乳期相关信息检索药物名称,,未实现
生物医药,基于药物ChEMBL ID检索相似实体,数据分析,脚本,使用PubMed训练的模型检索给定药物ChEMBL ID的相似实体,chemblId,未实现
生物医药,基于药物基因组学检索药物名称,数据分析,脚本,根据药物基因组学信息检索药物名称,,未实现
生物医药,基因eQTL关联查询,数据分析,脚本,查询GTEx数据库中基因的单组织eQTL关联数据，用于识别与基因表达调控相关的调控变异（变异ID、p值、斜率）。,eqtl,未实现
生物医药,基因与细胞系表达差异比较,数据分析,脚本,通过基因名称和细胞系名称，比较特定细胞系与健康组织中基因表达水平的差异。,,未实现
生物医药,基因信息查询,数据分析,脚本,通过Ensembl基因ID或符号查询基因信息。返回基因详细信息包括位置、描述和外部引用。支持稳定ID（如ENSG00000139618）和基因符号（如BRCA1）。使用基因符号时需提供物种参数。,,未实现
生物医药,基因变异位点检索,数据分析,脚本,检索特定基因的变异位点，返回与该基因符号关联的变异信息,,未实现
生物医药,基因变异查询,数据分析,脚本,根据多种标准（如rsID、基因、染色体位置或临床意义）搜索基因变异。返回来自dbSNP、ClinVar、gnomAD和CADD等来源的变异注释。,,未实现
生物医药,基因富集分析,数据分析,脚本,使用Enrichr进行基因富集分析，发现与基因列表相关的生物通路、过程和分子功能。返回基因与富集术语之间的关联路径。,,未实现
生物医药,基因查询,数据分析,脚本,通过关键词、符号、名称或其他标识符搜索基因。返回来自30多个数据源（包括Entrez Gene、Ensembl、UniProt、HGNC等）的基因注释信息。可用于查找基因ID、符号、描述和基本注释。,,未实现
生物医药,基因检索（Ensembl ID获取）,数据分析,脚本,通过基因名称、关键词或细胞系名称搜索匹配基因并返回Ensembl ID列表。这是许多HPA查询工作流的入口工具。,ensemblId,未实现
生物医药,基因生物过程组织特异性分析,数据分析,脚本,通过整合功能注释与表达数据，分析基因在特定组织或细胞系中的生物过程，以确定其功能相关性。,,未实现
生物医药,基因癌症预后分析,数据分析,脚本,检索基因在不同癌症类型中的预后价值，分析其表达水平与患者生存结局的相关性。,,未实现
生物医药,基因突变数据获取,数据分析,脚本,获取特定癌症研究中指定基因的突变数据,,未实现
生物医药,基因符号交叉引用查询,数据分析,脚本,通过基因符号或名称获取Ensembl对象的交叉引用信息，返回与外部数据库的映射关系。适用于已知基因符号但无Ensembl ID的场景。,,未实现
生物医药,基因组织疾病表达比较,数据分析,脚本,通过基因名称、组织类型和疾病名称比较特定疾病状态与健康状态下基因的表达水平。,,未实现
生物医药,基因蛋白信息查询器,信息检索,数据库调用,根据基因名查询并返回其在不同物种中的蛋白质注释、序列、亚细胞定位等详细信息。（磐石：支持对话调用）,,未实现
生物医药,基因遗传学信息查询,数据分析,脚本,从MedlinePlus Genetics获取基因名称对应的详细信息，支持JSON或XML格式返回。,,未实现
